,product/slug,location/country,score,industry,segment,Review,sentiment,review_processed,category
10,checkr,United States,5.0,Automotive,mid-market,"The dedication I have seen from checkr in regards to data support and personalized client support surpass any expectations.
Wish reports would get retriggered automatically when the candidate sends in additional documentation requested.
nan
Conversion of applicants to workers! The PAM is allowing us to cut through the weeds and only view convictions relevant to our business.",positive,"['dedication', 'seen', 'checkr', 'regard', 'data', 'support', 'personalized', 'client', 'support', 'surpass', 'expectation', 'wish', 'report', 'would', 'get', 'retriggered', 'automatically', 'candidate', 'sends', 'additional', 'documentation', 'requested', 'nan', 'conversion', 'applicant', 'worker', 'pam', 'allowing', 'u', 'cut', 'weed', 'view', 'conviction', 'relevant', 'business']","People Management, Communication, Technology, Documentation & Compliance"
11,certn,Canada,5.0,Retail,mid-market,"What drew me to CERTN was it's affordability and its east of use.  A couple of clicks and the check is sent.  Support is amazing and answers all questions in a flash and provides tips and tricks. The ability to make customized packages helps our team stay on top of things and keep things organized.  Lastly, CERTN is usually a one stop shop as it has many services; not just background checks.
While I know CERTN is trying to navigate different Provincial limitations on a number of their checks, it is still a set-back sometimes.  On occasion, it is hard to decipher when CERTN support or us, as administrators, should step in to assist a candidate.  Bring back the chat option! It was great...or maybe I just don't have access to that anymore....
nan
We are able to house all of our checks in one place.  Our background check cost is down almost 45%.  Less time is spent from interview to candidate check as the process is so easy.  It has given us the opportunity to organize and regulate some of our regulatory checks like driver's abstract. Glad",positive,"['drew', 'certn', 'wa', ""'s"", 'affordability', 'east', 'use', 'couple', 'click', 'check', 'sent', 'support', 'amazing', 'answer', 'question', 'flash', 'provides', 'tip', 'trick', 'ability', 'make', 'customized', 'package', 'help', 'team', 'stay', 'top', 'thing', 'keep', 'thing', 'organized', 'lastly', 'certn', 'usually', 'one', 'stop', 'shop', 'ha', 'many', 'service', 'background', 'check', 'know', 'certn', 'trying', 'navigate', 'different', 'provincial', 'limitation', 'number', 'check', 'still', 'set-back', 'sometimes', 'occasion', 'hard', 'decipher', 'certn', 'support', 'u', 'administrator', 'step', 'assist', 'candidate', 'bring', 'back', 'chat', 'option', 'wa', 'great', '...', 'maybe', ""n't"", 'access', 'anymore', '....', 'nan', 'able', 'house', 'check', 'one', 'place', 'background', 'check', 'cost', 'almost', '45', 'le', 'time', 'spent', 'interview', 'candidate', 'check', 'process', 'easy', 'ha', 'given', 'u', 'opportunity', 'organize', 'regulate', 'regulatory', 'check', 'like', 'driver', ""'s"", 'abstract', 'glad']","Communication, Technology, Checks, Cost, People Management, Features & Functions, Time, Adjectives"
12,certn,United States,5.0,Government Administration,mid-market,"Certn is excellent when it comes to executing background checks quickly. Since switching to Certn we have been able to speed up our hiring process by about 3 weeks compared to our previous background check vendor. Certn has also helped be the base for us to go to a more virtual hiring process.
While Certn has been absolutly excellent, the one big thing we wish it had would be to have a slightly different experience for the ""employee"". I believe that being able to edit the email sent to the candidate would be highly beneficial.
nan
Being the type of agency we are, we are required to a background check each and every employee; our previous vendor was taking a minimum of 4 weeks. This was causing us to lose part-time candidates rapidly. Since switching to Certn we are able to offer them the position and have them start, normally within the week! Excellent Background Option!",positive,"['certn', 'excellent', 'come', 'executing', 'background', 'check', 'quickly', 'since', 'switching', 'certn', 'able', 'speed', 'hiring', 'process', '3', 'week', 'compared', 'previous', 'background', 'check', 'vendor', 'certn', 'ha', 'also', 'helped', 'base', 'u', 'go', 'virtual', 'hiring', 'process', 'certn', 'ha', 'absolutly', 'excellent', 'one', 'big', 'thing', 'wish', 'would', 'slightly', 'different', 'experience', '``', 'employee', ""''"", 'believe', 'able', 'edit', 'email', 'sent', 'candidate', 'would', 'highly', 'beneficial', 'nan', 'type', 'agency', 'required', 'background', 'check', 'every', 'employee', 'previous', 'vendor', 'wa', 'taking', 'minimum', '4', 'week', 'wa', 'causing', 'u', 'lose', 'part-time', 'candidate', 'rapidly', 'since', 'switching', 'certn', 'able', 'offer', 'position', 'start', 'normally', 'within', 'week', 'excellent', 'background', 'option']","Communication, Performance & Quality, Technology, Checks, Platform, People Management, Features & Functions, Time"
13,sterling-talent-solutions,United States,0.0,Electrical/Electronic Manufacturing,mid-market,"I do like that we can see more detail as different checks are being completed.
Where to even begin. Customer service is extremely lacking. They will try to tell you something in the software isn't acting up until you send proof. They will boot your preferred drug testing location without a heads up (which was a nightmare and took months to get set up in the first place). Oh and on the second random place they sent our candidate, they lost the sample, which is inexcusable and pushed hiring back several weeks. We're lucky we didn't lose the candidate since Sterling's support told him it was still being tested (nope, never got to the lab). Finally, they will close a case as completed even if something wasn't done, as in the case of the missing drug test. Instead of reaching out to us directly to explain the mishap, they told the applicant it had been lost and marked the check as complete and to ""consider"" the drug test results. Completely unacceptable.
nan
They are supposed to host our background check screening process, but it has been bulky and not very user friendly. Our last company was so much better and I look forward to the day we can go back. Bulky and",negative,"['like', 'see', 'detail', 'different', 'check', 'completed', 'even', 'begin', 'customer', 'service', 'extremely', 'lacking', 'try', 'tell', 'something', 'software', ""n't"", 'acting', 'send', 'proof', 'boot', 'preferred', 'drug', 'testing', 'location', 'without', 'head', 'wa', 'nightmare', 'took', 'month', 'get', 'set', 'first', 'place', 'oh', 'second', 'random', 'place', 'sent', 'candidate', 'lost', 'sample', 'inexcusable', 'pushed', 'hiring', 'back', 'several', 'week', ""'re"", 'lucky', ""n't"", 'lose', 'candidate', 'since', 'sterling', ""'s"", 'support', 'told', 'wa', 'still', 'tested', 'nope', 'never', 'got', 'lab', 'finally', 'close', 'case', 'completed', 'even', 'something', 'wa', ""n't"", 'done', 'case', 'missing', 'drug', 'test', 'instead', 'reaching', 'u', 'directly', 'explain', 'mishap', 'told', 'applicant', 'lost', 'marked', 'check', 'complete', '``', 'consider', ""''"", 'drug', 'test', 'result', 'completely', 'unacceptable', 'nan', 'supposed', 'host', 'background', 'check', 'screening', 'process', 'ha', 'bulky', 'user', 'friendly', 'last', 'company', 'wa', 'much', 'better', 'look', 'forward', 'day', 'go', 'back', 'bulky']","Communication, Technology, Checks, Platform, People Management, Time"
14,zinc-work,United Kingdom,5.0,Computer Software,mid-market,"The process of taking references, right to work and criminal checks has always been a lengthy process. When going through a large amount of growth, this time adds up quick. To stay compliant and automate this process, Zinc was a no brainer. The ability to create packages with different checks needed for our international team has also been great. 

Having gone from 100% manually running this process, seeing notification emails when checks have be completed through Zinc still excites me!

Zinc is an essential to my process and I will continue to use it where ever I go.
When you click into a candidates profile where you can see what checks are still outstanding, there process of getting back to the home page is not as clean. 

This is an incredibly minor flaw in an incredible tool.
nan
Automation of reference checks, right to work, criminal record and any other checks we need to conduct to stay compliant.",positive,"['process', 'taking', 'reference', 'right', 'work', 'criminal', 'check', 'ha', 'always', 'lengthy', 'process', 'going', 'large', 'amount', 'growth', 'time', 'add', 'quick', 'stay', 'compliant', 'automate', 'process', 'zinc', 'wa', 'brainer', 'ability', 'create', 'package', 'different', 'check', 'needed', 'international', 'team', 'ha', 'also', 'great', 'gone', '100', 'manually', 'running', 'process', 'seeing', 'notification', 'email', 'check', 'completed', 'zinc', 'still', 'excites', 'zinc', 'essential', 'process', 'continue', 'use', 'ever', 'go', 'click', 'candidate', 'profile', 'see', 'check', 'still', 'outstanding', 'process', 'getting', 'back', 'home', 'page', 'clean', 'incredibly', 'minor', 'flaw', 'incredible', 'tool', 'nan', 'automation', 'reference', 'check', 'right', 'work', 'criminal', 'record', 'check', 'need', 'conduct', 'stay', 'compliant']","Technology, Checks, Platform, People Management, Features & Functions, Time, Adjectives"
15,checkr,United States,4.0,Religious Institutions,small-business,"It is a comprehensive screening for volunteers, and it syncs with our people management system (Planning Center) so it's easy to keep track of background screenings.
When we have to use Checkr outside our people management system (for pre-employment screenings, for instance), the Checkr dashboard and navigation is kind of bulky. But that's pretty much the only downside.
nan
Keeping our kids safe with quality background screenings through the sync with our people management system.",positive,"['comprehensive', 'screening', 'volunteer', 'syncs', 'people', 'management', 'system', 'planning', 'center', ""'s"", 'easy', 'keep', 'track', 'background', 'screening', 'use', 'checkr', 'outside', 'people', 'management', 'system', 'pre-employment', 'screening', 'instance', 'checkr', 'dashboard', 'navigation', 'kind', 'bulky', ""'s"", 'pretty', 'much', 'downside', 'nan', 'keeping', 'kid', 'safe', 'quality', 'background', 'screening', 'sync', 'people', 'management', 'system']","Platform, Performance & Quality, Adjectives, Checks"
16,hireright,United States,4.0,Computer Software,mid-market,"I like the integration with our applicant tracking software, the online I-9 feature that integrates with E-Verify as well as helps you manage the retention of the I-9 documents.
When there is an issue with a piece of the verification, sometimes HireRight reaches out to the candidate and confuses them or doesn't update the system in a timely manner with the information needed.
Background checks and I-9 completion & retention. Our I-9s are filled out correctly and completely and we don't have to manually track the retention of the documents. HireRight
Love the I-9 retention feature",positive,"['like', 'integration', 'applicant', 'tracking', 'software', 'online', 'i-9', 'feature', 'integrates', 'e-verify', 'well', 'help', 'manage', 'retention', 'i-9', 'document', 'issue', 'piece', 'verification', 'sometimes', 'hireright', 'reach', 'candidate', 'confuses', 'doe', ""n't"", 'update', 'system', 'timely', 'manner', 'information', 'needed', 'background', 'check', 'i-9', 'completion', 'retention', 'i-9s', 'filled', 'correctly', 'completely', ""n't"", 'manually', 'track', 'retention', 'document', 'hireright', 'love', 'i-9', 'retention', 'feature']","Communication, Technology, Checks, Platform, Integration, Documentation & Compliance, People Management, Features & Functions, Time, Adjectives"
17,checkr,United States,4.5,Financial Services,mid-market,"Usually, reports are very timely and accurately.
When reports are taking months to clear, there is not feedback or any assistance they can give.
nan
I'm not sure at this time.  I still have one background that is on month 3 to clear.",positive,"['usually', 'report', 'timely', 'accurately', 'report', 'taking', 'month', 'clear', 'feedback', 'assistance', 'give', 'nan', ""'m"", 'sure', 'time', 'still', 'one', 'background', 'month', '3', 'clear']","Time, Performance & Quality, Documentation & Compliance, Checks"
18,zinc-work,Netherlands,4.0,Marketing and Advertising,mid-market,"As I said, super simple to use and a quick thing to tick off the onboarding checklist
When I needed to know what each level of check covered I found it hard to get a clear pictire
nan
Easily being able to check new hire background checks with basic information",positive,"['said', 'super', 'simple', 'use', 'quick', 'thing', 'tick', 'onboarding', 'checklist', 'needed', 'know', 'level', 'check', 'covered', 'found', 'hard', 'get', 'clear', 'pictire', 'nan', 'easily', 'able', 'check', 'new', 'hire', 'background', 'check', 'basic', 'information']","Platform, Features & Functions, Adjectives, Checks"
19,certn,Canada,4.5,Electrical/Electronic Manufacturing,mid-market,"using the web site is very easy to navigate
when I get notices like, I have exceeded my account limitation,
nan
nan",positive,"['using', 'web', 'site', 'easy', 'navigate', 'get', 'notice', 'like', 'exceeded', 'account', 'limitation', 'nan', 'nan']",Adjectives
20,certn,Canada,4.5,Pharmaceuticals,mid-market,"It is very easy to use and packages are ala carte able to see what is available and limitations
When doing overseas education or job history reference, it takes longer than other companies I have used in the past.
nan
Reference Check is fast and reliable.",positive,"['easy', 'use', 'package', 'ala', 'carte', 'able', 'see', 'available', 'limitation', 'overseas', 'education', 'job', 'history', 'reference', 'take', 'longer', 'company', 'used', 'past', 'nan', 'reference', 'check', 'fast', 'reliable']","Performance & Quality, Checks, People Management, Features & Functions, Time, Adjectives"
21,hipeople,United States,4.0,Non-Profit Organization Management,mid-market,"Website is very simple and easy to use. The process if very straightforward. The HiPeople team was very quick to respond and provided a very thorough demo. The trial period to test out the system is amazing. They provide plenty of ""candidate"" slots so you can test out every aspect of the system from every perspective (recruiter, hiring manager, candidate, previous colleagues, etc.).
When asking for the linkedin link, you can't just skip it, you have to copy and paste a fake link. There are parts of the system that I would like to edit the wording of certain things but that isn't an option.
nan
Helping us to receive more thorough references. Also helps take out the manual process of writing emails, following up, etc. HiPeople - Simple,",positive,"['website', 'simple', 'easy', 'use', 'process', 'straightforward', 'hipeople', 'team', 'wa', 'quick', 'respond', 'provided', 'thorough', 'demo', 'trial', 'period', 'test', 'system', 'amazing', 'provide', 'plenty', '``', 'candidate', ""''"", 'slot', 'test', 'every', 'aspect', 'system', 'every', 'perspective', 'recruiter', 'hiring', 'manager', 'candidate', 'previous', 'colleague', 'etc.', 'asking', 'linkedin', 'link', 'ca', ""n't"", 'skip', 'copy', 'paste', 'fake', 'link', 'part', 'system', 'would', 'like', 'edit', 'wording', 'certain', 'thing', ""n't"", 'option', 'nan', 'helping', 'u', 'receive', 'thorough', 'reference', 'also', 'help', 'take', 'manual', 'process', 'writing', 'email', 'following', 'etc', 'hipeople', 'simple']","Communication, Technology, Checks, Platform, People Management, Features & Functions, Adjectives"
22,hireright,United States,5.0,Staffing and Recruiting,enterprise,"I love that Hireright makes it quick and easy to send your prospective employee the necessary forms for their background screening. When needing to run many backgrounds a day this saves a lot of time. In addition, I like that you can go into each file and track the progress of each background section by section.
When as issue does arrive sometimes their Customer Service team can send you on what feels like a wild goose chase.
nan
I am definitely solving the issue of time management. And the benefits are the easy tracking of backgrounds to better understand which portion can cause the most holdup. HireRight -",positive,"['love', 'hireright', 'make', 'quick', 'easy', 'send', 'prospective', 'employee', 'necessary', 'form', 'background', 'screening', 'needing', 'run', 'many', 'background', 'day', 'save', 'lot', 'time', 'addition', 'like', 'go', 'file', 'track', 'progress', 'background', 'section', 'section', 'issue', 'doe', 'arrive', 'sometimes', 'customer', 'service', 'team', 'send', 'feel', 'like', 'wild', 'goose', 'chase', 'nan', 'definitely', 'solving', 'issue', 'time', 'management', 'benefit', 'easy', 'tracking', 'background', 'better', 'understand', 'portion', 'cause', 'holdup', 'hireright']","Communication, Checks, Platform, Features & Functions, Time, Adjectives"
23,checkr,United States,4.0,Human Resources,mid-market,"The reports are easy to read. Things are color-coded so you can easily see if a report is clear or needs consideration and what sections in the report need to be reviewed.
When an invitation expires, we can't just click a resend button. We have to order a new background check. And you can't just click ""Order New Report"" from the expired report. You have to go back to the beginning and order a new background check. If you have an integration with your ATS, you also cannot order a new background check from there, you have to do it from the Checkr dashboard.
nan
Helps us make hiring decisions and mitigate risk based on a candidate's background check.",positive,"['report', 'easy', 'read', 'thing', 'color-coded', 'easily', 'see', 'report', 'clear', 'need', 'consideration', 'section', 'report', 'need', 'reviewed', 'invitation', 'expires', 'ca', ""n't"", 'click', 'resend', 'button', 'order', 'new', 'background', 'check', 'ca', ""n't"", 'click', '``', 'order', 'new', 'report', ""''"", 'expired', 'report', 'go', 'back', 'beginning', 'order', 'new', 'background', 'check', 'integration', 'also', 'order', 'new', 'background', 'check', 'checkr', 'dashboard', 'nan', 'help', 'u', 'make', 'hiring', 'decision', 'mitigate', 'risk', 'based', 'candidate', ""'s"", 'background', 'check']","Communication, Checks, Platform, Integration, Documentation & Compliance, People Management, Adjectives"
24,hipeople,Portugal,4.5,Information Technology and Services,mid-market,"Always open to talk with the client and understand what is important for them and how to support/answer to them. Shows that the product is always adapting accordngly to the needs.
When adding people for the references, and after some days (defined timeline is overdue) there could be an alert to the client in a more proative way to alert that those references didn t arrived yet.
nan
supports a crucial stage in our recruitment process that is reference check and background check which consumes a lot of work and time from our hr team if was done manually. with this tool we can focus on the results and take the main conclusions and with that drive better onboarding and talent management",positive,"['always', 'open', 'talk', 'client', 'understand', 'important', 'support/answer', 'show', 'product', 'always', 'adapting', 'accordngly', 'need', 'adding', 'people', 'reference', 'day', 'defined', 'timeline', 'overdue', 'could', 'alert', 'client', 'proative', 'way', 'alert', 'reference', 'arrived', 'yet', 'nan', 'support', 'crucial', 'stage', 'recruitment', 'process', 'reference', 'check', 'background', 'check', 'consumes', 'lot', 'work', 'time', 'hr', 'team', 'wa', 'done', 'manually', 'tool', 'focus', 'result', 'take', 'main', 'conclusion', 'drive', 'better', 'onboarding', 'talent', 'management']","Communication, Technology, Checks, Platform, People Management, Time"
25,checkr,United States,5.0,Non-Profit Organization Management,small-business,"Checkr allows us to see the status that a request is in, from the invitation being send, to it has been started and is pending, gives an ETA, all in an efficient manner. We have seen background checks get done in as little as three minutes because the receipient did it immediately when we sent it. Checkr's service in speed, security, ease of use for us and our candidates far exceeds that of other vendors we have worked with. In the rare case we need to reach out to them for help, they are prompt, kind, and thorough in assisting us with our request. I o
When a customer has a problem, say they mistype their SSN, I would like for them to be able to rectify that a little more easily. If there could be a phone number that they could call in the email that they receive. In these cases, we usually have to reach out to Customer Service to help clear the situation.
The quick resolution of our requests has been a game-changer. The way the candidate gets an email every day has also been a benefit to us and our candidates to help them remember and know how many days remain for the link to be active.
If you want a safe and efficient way to run background checks for your teams, Checkr is your best solution! Its capabilities make other options look archaic and out of date.",positive,"['checkr', 'allows', 'u', 'see', 'status', 'request', 'invitation', 'send', 'ha', 'started', 'pending', 'give', 'eta', 'efficient', 'manner', 'seen', 'background', 'check', 'get', 'done', 'little', 'three', 'minute', 'receipient', 'immediately', 'sent', 'checkr', ""'s"", 'service', 'speed', 'security', 'ease', 'use', 'u', 'candidate', 'far', 'exceeds', 'vendor', 'worked', 'rare', 'case', 'need', 'reach', 'help', 'prompt', 'kind', 'thorough', 'assisting', 'u', 'request', 'customer', 'ha', 'problem', 'say', 'mistype', 'ssn', 'would', 'like', 'able', 'rectify', 'little', 'easily', 'could', 'phone', 'number', 'could', 'call', 'email', 'receive', 'case', 'usually', 'reach', 'customer', 'service', 'help', 'clear', 'situation', 'quick', 'resolution', 'request', 'ha', 'game-changer', 'way', 'candidate', 'get', 'email', 'every', 'day', 'ha', 'also', 'benefit', 'u', 'candidate', 'help', 'remember', 'know', 'many', 'day', 'remain', 'link', 'active', 'want', 'safe', 'efficient', 'way', 'run', 'background', 'check', 'team', 'checkr', 'best', 'solution', 'capability', 'make', 'option', 'look', 'archaic', 'date']","Communication, Performance & Quality, Complaints & Issues, Checks, Platform, People Management, Features & Functions, Time, Adjectives"
26,hireright,United States,5.0,Hospital & Health Care,enterprise,"What I love about HireRight is that it allows anyone who works any part of Human Resources to keep a sound track of your candidate's success in their background check process. As a current Talent Acquisition support specialist, I can keep up with all of the existing processes and even allow the candidate to assist in any discrepancies found.
What I don't like about HireRight are the announcements tabs. It allows you to see all things global going on with the company, however I feel as if that section would be best created for any Forms and Documents to keep track of.
nan
with HireRight I am able to solve any issues with background checks and drug testing by seeing the notes that are easy and accessible stating anything that could be going wrong.",positive,"['love', 'hireright', 'allows', 'anyone', 'work', 'part', 'human', 'resource', 'keep', 'sound', 'track', 'candidate', ""'s"", 'success', 'background', 'check', 'process', 'current', 'talent', 'acquisition', 'support', 'specialist', 'keep', 'existing', 'process', 'even', 'allow', 'candidate', 'assist', 'discrepancy', 'found', ""n't"", 'like', 'hireright', 'announcement', 'tab', 'allows', 'see', 'thing', 'global', 'going', 'company', 'however', 'feel', 'section', 'would', 'best', 'created', 'form', 'document', 'keep', 'track', 'nan', 'hireright', 'able', 'solve', 'issue', 'background', 'check', 'drug', 'testing', 'seeing', 'note', 'easy', 'accessible', 'stating', 'anything', 'could', 'going', 'wrong']","Communication, Complaints & Issues, Technology, Checks, Platform, Documentation & Compliance, People Management, Features & Functions, Adjectives"
27,hipeople,Austria,5.0,Financial Services,enterprise,"reactive answers always availble cooperative
website troubles  sometimes not clear road maps on the website
nan
giving some clear guidelines while the selection process cooperative, focused and fast",positive,"['reactive', 'answer', 'always', 'availble', 'cooperative', 'website', 'trouble', 'sometimes', 'clear', 'road', 'map', 'website', 'nan', 'giving', 'clear', 'guideline', 'selection', 'process', 'cooperative', 'focused', 'fast']","Time, Platform, Technology"
28,sterling-talent-solutions,United States,3.0,Hospital & Health Care,mid-market,"Background checks have a very quick turnaround time and reports are easy to read
Website is not very user friendly and is somewhat difficult to use
Benefits include quick TAT on background checks and HR paperwork can be sent through Sterling as well Sterling
Maintain a good relationship with your account rep- the customer service reps are not very helpful",negative,"['background', 'check', 'quick', 'turnaround', 'time', 'report', 'easy', 'read', 'website', 'user', 'friendly', 'somewhat', 'difficult', 'use', 'benefit', 'include', 'quick', 'tat', 'background', 'check', 'hr', 'paperwork', 'sent', 'sterling', 'well', 'sterling', 'maintain', 'good', 'relationship', 'account', 'rep-', 'customer', 'service', 'rep', 'helpful']","Communication, Checks, Platform, Documentation & Compliance, Time, Adjectives"
